"CITY","STATE","COUNTRY","GENDER","AGE","MARITAL_STATUS","PROFESSION","REPELLENT_NEGTWEETS","REPELLENT","TENT"
"Fussa","NA","Japan","F","39","Unspecified","Hospitality","6","false","true"
"Anyang","NA","Korea","F","37","Married","Retail","7","false","true"
"Basel","NA","Switzerland","F","24","Single","Other","7","false","true"
"Khabarovsk","NA","Russia","F","34","Married","Professional","2","true","false"
"New Delhi","DL","India","F","22","Married","Other","2","true","false"
"Loughton","NA","United Kingdom","M","20","Single","Executive","8","false","true"
"Playa del Carmen","NA","Mexico","M","44","Married","Executive","7","false","true"
"Granada","NA","Spain","M","22","Single","Professional","7","false","true"
"Burnaby","BC","Canada","M","33","Single","Professional","6","false","true"
"Basel","NA","Switzerland","F","48","Married","Other","2","false","true"
"Niquelândia","BR-GO","Brazil","M","30","Single","Student","4","false","true"
"Beijing","NA","China","M","28","Single","Other","8","false","true"
"Chennai","NA","India","M","31","Married","Sales","6","false","true"
"Guarulhos","BR-SP","Brazil","F","41","Married","Executive","0","true","false"
"Nässjö","NA","Sweden","M","31","Married","Trades","5","false","true"
"Victoria","NA","Mexico","F","30","Married","Executive","9","false","true"
"Augsburg","NA","Germany","F","44","Unspecified","Hospitality","6","false","true"
"Viborg","NA","Denmark","F","21","Single","Other","2","true","false"
"Guangzhou","NA","China","F","26","Married","Other","3","true","true"
"Komae","NA","Japan","F","59","Married","Retired","9","false","true"
"Brisbane","Qld","Australia","M","28","Single","Professional","5","false","true"
"Coventry","NA","United Kingdom","F","30","Married","Executive","2","true","false"
"Guangzhou","NA","China","M","37","Married","Sales","8","false","true"
"Las Vegas","NV","United States","F","45","Married","Hospitality","4","false","true"
"Timóteo","BR-MG","Brazil","M","39","Married","Other","6","false","true"
"Perth","WA","Australia","M","28","Single","Professional","9","false","true"
"Melbourne","Vic","Australia","F","30","Single","Retail","1","true","true"
"Cangzhou","NA","China","M","23","Single","Other","12","false","true"
"Maanshan","NA","China","F","48","Married","Executive","6","false","true"
"Shijiazhuang","NA","China","M","27","Single","Trades","6","false","true"
"Oakland","CA","United States","F","35","Married","Other","1","true","true"
"Eastbourne","NA","United Kingdom","F","48","Married","Executive","6","false","true"
"Patna","NA","India","F","37","Single","Retail","0","true","false"
"Sendai","NA","Japan","M","44","Married","Executive","6","false","true"
"Ecatepec","NA","Mexico","M","24","Single","Sales","5","false","true"
"Bregenz","NA","Austria","M","30","Single","Professional","2","true","true"
"Apeldoorn","NA","Netherlands","M","30","Single","Trades","9","false","true"
"Brasília","BR-DF","Brazil","F","40","Married","Executive","8","false","true"
"Toulouse","NA","France","F","32","Married","Other","1","true","false"
"Fukui","NA","Japan","F","27","Single","Other","2","true","false"
"Bellinzona","NA","Switzerland","M","20","Single","Other","2","false","true"
"Kazan","NA","Russia","M","27","Single","Professional","7","false","true"
"Bellinzona","NA","Switzerland","F","33","Married","Other","2","true","true"
"Braunschweig","NA","Germany","M","32","Single","Other","5","false","true"
"Mendota Heights","MN","United States","F","30","Married","Hospitality","3","true","false"
"Sion","NA","Switzerland","F","34","Married","Other","2","true","false"
"Yellowknife","NT","Canada","M","29","Single","Sales","4","false","true"
"Nagaur","RJ","India","F","35","Married","Other","1","true","false"
"Springfield","VA","United States","M","23","Single","Other","4","false","true"
"Heihe","NA","China","M","23","Single","Professional","6","false","true"
"Osasco","BR-SP","Brazil","M","44","Married","Other","9","false","true"
"Enschede","NA","Netherlands","M","38","Married","Executive","6","false","true"
"Twin Falls","ID","United States","M","26","Single","Trades","4","false","true"
"Kushiro","NA","Japan","F","29","Married","Retail","3","true","false"
"Portsmouth","NA","United Kingdom","M","20","Single","Professional","6","false","true"
"Delhi","NCT","India","F","43","Married","Executive","8","false","true"
"Lübeck","NA","Germany","M","28","Single","Other","6","false","true"
"Gaspé","QC","Canada","F","44","Married","Other","6","false","true"
"Astrakhan","NA","Russia","M","30","Married","Executive","6","false","true"
"Chihuahua","NA","Mexico","M","34","Married","Student","3","false","true"
"Cangzhou","NA","China","F","60","Married","Other","7","false","true"
"Sion","NA","Switzerland","M","25","Single","Sales","6","false","true"
"Leoben","NA","Austria","M","29","Single","Trades","3","false","true"
"Bedford","NA","United Kingdom","F","33","Married","Hospitality","1","true","false"
"Erfurt","NA","Germany","M","23","Single","Professional","6","false","true"
"Timóteo","BR-MG","Brazil","F","60","Married","Other","6","false","true"
"Nimes","NA","France","M","23","Single","Professional","9","false","true"
"Kasugai","NA","Japan","F","27","Married","Other","1","true","false"
"Toronto","ON","Canada","F","20","Married","Retail","3","true","false"
"Frederikshavn","NA","Denmark","M","21","Single","Retail","0","true","false"
"South San Francisco","CA","United States","M","32","Married","Other","4","false","true"
"Kyoto","NA","Japan","M","31","Married","Trades","6","false","true"
"São João de Meriti","BR-RJ","Brazil","M","29","Single","Professional","6","false","true"
"Chemnitz","NA","Germany","M","30","Single","Other","7","false","true"
"Chongqing","NA","China","F","27","Married","Other","9","false","true"
"Kasugai","NA","Japan","M","25","Single","Other","6","false","true"
"Great Yarmouth","NA","United Kingdom","F","25","Single","Other","4","true","false"
"Krymsk","NA","Russia","M","25","Single","Professional","10","false","true"
"Albuquerque","NM","United States","M","28","Single","Trades","5","false","true"
"Köln","NA","Germany","F","47","Unspecified","Hospitality","2","true","false"
"Wenatchee","WA","United States","M","31","Married","Other","8","false","true"
"Chyofu","NA","Japan","F","36","Married","Executive","7","false","true"
"Shimonoseki","NA","Japan","M","29","Single","Other","4","false","true"
"Volta Redonda","BR-RJ","Brazil","M","26","Single","Other","7","false","true"
"Berlin","NA","Germany","F","37","Married","Other","1","true","true"
"Padova","PD","Italy","M","20","Single","Sales","9","false","true"
"Osasco","BR-SP","Brazil","F","36","Married","Executive","1","true","false"
"St. Pölten","NA","Austria","M","23","Single","Other","10","false","true"
"Chengdu","NA","China","M","35","Married","Other","2","true","false"
"Shimonoseki","NA","Japan","F","37","Married","Other","6","false","true"
"Petrópolis","BR-RJ","Brazil","F","46","Married","Executive","2","true","true"
"Chongqing","NA","China","F","21","Single","Other","9","false","true"
"Lausanne","NA","Switzerland","M","19","Single","Trades","5","false","true"
"Wenatchee","WA","United States","M","27","Single","Sales","7","false","true"
"Dübendorf","NA","Switzerland","M","40","Married","Other","1","true","false"
"Bari","BA","Italy","M","29","Single","Sales","4","false","true"
"Pamplona","NA","Spain","M","28","Single","Professional","8","false","true"
"Ketchikan","AK","United States","F","54","Married","Other","4","false","true"
"Utrecht","NA","Netherlands","M","23","Single","Other","6","false","true"
"Linz","NA","Austria","F","26","Single","Other","7","false","true"
"Wuhan","NA","China","M","24","Single","Student","5","false","true"
"Annapolis Junction","MD","United States","M","27","Single","Other","9","false","true"
"Nice","NA","France","M","23","Single","Sales","6","false","true"
"Stevenage","NA","United Kingdom","F","43","Married","Other","6","false","true"
"Roskilde","NA","Denmark","M","22","Single","Sales","9","false","true"
"Portland","OR","United States","M","41","Single","Sales","6","false","true"
"Changchun","NA","China","F","20","Married","Retail","2","true","false"
"Guangzhou","NA","China","F","36","Married","Other","3","false","true"
"Singapore","Singapore","Singapore","F","32","Married","Executive","4","false","true"
"Pensacola","FL","United States","M","36","Married","Other","4","false","true"
"Brasília","BR-DF","Brazil","M","21","Single","Other","7","false","true"
"Porto Alegre","BR-RS","Brazil","F","36","Married","Executive","8","false","true"
"Chengdu","NA","China","F","25","Married","Retail","1","true","false"
"Balneário Camboriú","BR-SC","Brazil","F","33","Single","Retail","2","true","false"
"Manzanilo","NA","Mexico","F","21","Single","Other","7","false","true"
"Changchun","NA","China","M","37","Married","Sales","10","false","true"
"Logroño","LO","Spain","M","24","Single","Executive","9","false","true"
"Shimla","HP","India","F","37","Married","Other","2","true","false"
"Singapore","Singapore","Singapore","F","34","Married","Retail","2","true","false"
"Adelaide","SA","Australia","M","21","Single","Sales","7","false","true"
"Changchun","NA","China","F","37","Married","Other","2","true","true"
"Angers","NA","France","M","43","Married","Trades","6","false","true"
"Aguascalientes","NA","Mexico","M","30","Single","Professional","4","false","true"
"Zapopan","NA","Mexico","F","48","Married","Executive","1","true","false"
"Bologna","NA","Italy","M","23","Single","Other","8","false","true"
"Huelva","NA","Spain","M","30","Single","Other","9","false","true"
"Heihe","NA","China","M","28","Single","Sales","8","false","true"
"Annapolis","MD","United States","M","25","Single","Professional","4","false","true"
"Fukui","NA","Japan","F","42","Unspecified","Hospitality","8","false","true"
"Bellinzona","NA","Switzerland","M","26","Single","Professional","8","false","true"
"Stuttgart","NA","Germany","F","38","Unspecified","Hospitality","11","false","true"
"Portsmouth","NA","United Kingdom","F","27","Single","Other","8","false","true"
"Yukhnov","NA","Russia","F","43","Married","Other","7","false","true"
"Batesville","MS","United States","M","23","Single","Executive","5","false","true"
"Maanshan","NA","China","M","23","Single","Professional","9","false","true"
"Nago","NA","Japan","M","40","Married","Professional","8","false","true"
"Huntsville","AL","United States","F","31","Married","Retail","2","true","false"
"Windsor","CT","United States","F","39","Married","Other","8","false","true"
"Zapopan","NA","Mexico","F","32","Married","Executive","11","false","true"
"Southampton","NA","United Kingdom","M","28","Single","Student","7","false","true"
"Bellinzona","NA","Switzerland","F","26","Single","Other","8","false","true"
"Playa del Carmen","NA","Mexico","M","42","Unspecified","Other","3","true","true"
"Plaquemine","LA","United States","F","23","Single","Other","1","true","false"
"Lausanne","NA","Switzerland","M","47","Married","Professional","7","false","true"
"Campos dos Goytacazes","BR-RJ","Brazil","F","23","Single","Hospitality","7","false","true"
"Mulhouse","NA","France","M","38","Married","Executive","5","false","true"
"Brisbane","Qld","Australia","M","31","Married","Other","6","false","true"
"Genève","NA","Switzerland","M","37","Married","Other","3","false","true"
"Dillon","SC","United States","M","31","Married","Other","2","true","false"
"Suwa","NA","Japan","F","29","Single","Student","4","false","true"
"Gaspé","QC","Canada","F","37","Unspecified","Hospitality","7","false","true"
"Napoli","NA","Italy","M","28","Married","Sales","6","false","true"
"Osnabrück","NA","Germany","F","37","Married","Other","5","false","true"
"Boulogne-Billancourt","NA","France","F","30","Married","Other","9","false","true"
"San Luis","NA","Mexico","M","33","Married","Executive","4","false","true"
"Tijuana","NA","Mexico","M","34","Single","Other","6","false","true"
"Göteborg","NA","Sweden","M","22","Single","Trades","12","false","true"
"Nizhny Novgorod","NA","Russia","F","48","Married","Executive","2","true","false"
"Melbourne","Vic","Australia","F","20","Married","Retail","2","true","false"
"Hamburg","NA","Germany","M","32","Single","Trades","5","false","true"
"Ryazan","NA","Russia","F","47","Married","Hospitality","6","false","true"
"Lappeenranta","NA","Finland","M","27","Single","Other","3","false","true"
"Cuernavaca","NA","Mexico","F","25","Married","Other","0","true","false"
"Aalborg","NA","Denmark","M","43","Married","Other","7","false","true"
"Sault Ste. Marie","ON","Canada","M","44","Married","Professional","8","false","true"
"San Sebastián","SS","Spain","F","48","Married","Hospitality","8","false","true"
"Leuven","NA","Belgium","F","27","Married","Other","1","true","false"
"Brisbane","Qld","Australia","F","36","Married","Executive","2","true","false"
"Kawasaki","NA","Japan","F","47","Married","Executive","4","false","true"
"Vancouver","OR","United States","F","32","Unspecified","Other","2","true","false"
"Cangzhou","NA","China","M","45","Married","Professional","7","false","true"
"Lethbridge","AB","Canada","M","28","Single","Trades","6","false","true"
"Exeter","NA","United Kingdom","F","46","Married","Executive","0","true","true"
"Malmö","NA","Sweden","F","36","Married","Other","2","true","false"
"Kyoto","NA","Japan","M","34","Single","Executive","6","false","true"
"Guarulhos","BR-SP","Brazil","M","32","Married","Sales","5","false","true"
"Namur","NA","Belgium","F","32","Married","Other","0","true","false"
"Dresden","NA","Germany","F","29","Married","Other","2","true","false"
"Frederiction","NB","Canada","F","21","Single","Other","2","true","true"
"Zaragoza","NA","Spain","M","30","Single","Other","7","false","true"
"Volta Redonda","BR-RJ","Brazil","M","24","Single","Retail","1","true","false"
"Balneário Camboriú","BR-SC","Brazil","F","30","Married","Other","4","false","true"
"Frankfurt","NA","Germany","F","39","Married","Other","1","true","false"
"Sault Ste. Marie","ON","Canada","F","48","Married","Other","7","false","true"
"Anchorage","AK","United States","F","25","Single","Student","3","false","true"
"Canberra","ACT","Australia","M","41","Married","Retired","1","true","false"
"Akishima","NA","Japan","F","30","Married","Executive","8","false","true"
"Charleston","SC","United States","F","25","Single","Other","7","false","true"
"Kawasaki","NA","Japan","F","30","Married","Executive","2","true","false"
"Logroño","NA","Spain","F","39","Married","Other","2","true","true"
"Chengdu","NA","China","F","33","Unspecified","Other","7","false","true"
"Rivière-du-Loup","QC","Canada","M","22","Single","Other","9","false","true"
"Trail","BC","Canada","M","36","Single","Sales","9","false","true"
"Spearfish","SD","United States","M","44","Married","Other","5","false","true"
"Stans","NA","Austria","M","32","Single","Trades","6","false","true"
"Brasília","BR-DF","Brazil","M","43","Married","Executive","5","false","true"
